"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"212558","occ","","","21472","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","8610"
"212559","occ","","","21473","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212561","occ","","","21475","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212562","occ","","","21475","Homo erectus","species","83084","Gelasian","","2.588","1.806","8610"
"212564","occ","","","21476","Homo","genus","40901","Late Pliocene","Calabrian","3.6","0.781","8610"
"212565","occ","","","21476","Cercopithecoides","genus","40863","Late Pliocene","Calabrian","3.6","0.781","4469"
"212573","occ","","","21480","Cercopithecoides","genus","40863","Piacenzian","","3.6","2.588","4447"
"212579","occ","","","21484","Hominidae","family","40899","Piacenzian","","3.6","2.588","8610"
"212584","occ","","","21485","Hominidae","family","40899","Piacenzian","","3.6","2.588","8610"
"212589","occ","","","21490","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","4455"
"212590","occ","","","21492","Homo erectus","species","83084","Pliocene","Pleistocene","5.333","0.0117","8610"
"212596","occ","","","21495","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212602","occ","","","21498","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","8610"
"212608","occ","","","21500","Cercopithecoides","genus","40863","Pliocene","Pleistocene","5.333","0.0117","4469"
"212609","occ","","","21500","Cercopithecidae","family","40860","Pliocene","Pleistocene","5.333","0.0117","4469"
"212612","occ","","","21502","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","8610"
"212613","occ","","","21503","Cercopithecoides","genus","40863","Gelasian","","2.588","1.806","4447"
"212614","occ","","","21503","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212619","occ","","","21504","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212622","occ","","","21506","Cercopithecidae","family","40860","Pliocene","Pleistocene","5.333","0.0117","4447"
"212623","occ","","","21506","Cercopithecoides","genus","40863","Pliocene","Pleistocene","5.333","0.0117","4447"
"212625","occ","","","21507","Hominidae","family","40899","Calabrian","","1.806","0.781","4447"
"212627","occ","","","21508","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212634","occ","","","21510","Hominidae","family","40899","Zanclean","","5.333","3.6","4469"
"212636","occ","","","21513","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4486"
"212638","occ","","","21514","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212639","occ","","","21514","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"212642","occ","","","21515","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212646","occ","","","21519","Theropithecus","genus","40879","Gelasian","","2.588","1.806","4447"
"212654","occ","","","21520","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212655","occ","","","21520","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212661","occ","","","21520","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"212666","occ","","","21521","Homo","genus","40901","Pliocene","Pleistocene","5.333","0.0117","8610"
"212680","occ","","","21522","Colobus","genus","40864","Pliocene","Pleistocene","5.333","0.0117","4447"
"212681","occ","","","21522","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4447"
"212688","occ","","","21522","Cercocebus","genus","40861","Pliocene","Pleistocene","5.333","0.0117","4447"
"212695","occ","","","21523","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212696","occ","","","21523","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212697","occ","","","21524","Theropithecus oswaldi","species","133586","Pleistocene","","2.588","0.0117","4447"
"212711","occ","","","21525","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212712","occ","","","21526","Cercopithecus","genus","233952","Pliocene","Pleistocene","5.333","0.0117","4447"
"212713","occ","","","21526","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4447"
"212727","occ","","","21528","Hominidae","family","40899","Holocene","","0.0117","0","4757"
"212733","occ","","","21530","Cercopithecoides","genus","40863","Piacenzian","","3.6","2.588","4447"
"212794","occ","","","21536","Hominidae","family","40899","Piacenzian","","3.6","2.588","8610"
"212836","occ","","","21560","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"212840","occ","","","21572","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"212842","occ","","","21582","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"212851","occ","","","21626","Cercopithecidae","family","40860","Gelasian","","2.588","1.806","5263"
"212900","occ","","","21686","Alouatta seniculus","species","232536","Holocene","","0.0117","0","4785"
"212917","occ","","","21686","Cebus nigrivittatus","species","236583","Holocene","","0.0117","0","4785"
"212946","occ","","","21687","Alouatta seniculus","species","232536","Holocene","","0.0117","0","4787"
"212947","occ","","","21687","Ateles paniscus","species","104123","Holocene","","0.0117","0","4787"
"212948","occ","","","21687","Cebus apella","species","104132","Holocene","","0.0117","0","4787"
"212949","occ","","","21687","Chiropotes","genus","92608","Holocene","","0.0117","0","4787"
"212950","occ","","","21687","Pithecia","genus","92609","Holocene","","0.0117","0","4787"
"212951","occ","","","21687","Leontopithecus midas","species","104130","Holocene","","0.0117","0","4787"
"213054","occ","","","21689","Alouatta seniculus","species","232536","Holocene","","0.0117","0","4790"
"213055","occ","","","21689","Aotus trivirgatus","species","232710","Holocene","","0.0117","0","4790"
"213056","occ","","","21689","Ateles paniscus","species","104123","Holocene","","0.0117","0","4790"
"213057","occ","","","21689","Callicebus","genus","92607","Holocene","","0.0117","0","4790"
"213059","occ","","","21689","Cebus apella","species","104132","Holocene","","0.0117","0","4790"
"213060","occ","","","21689","Lagothrix lagotricha","species","232529","Holocene","","0.0117","0","4790"
"213061","occ","","","21689","Saguinus fuscicollis","species","231757","Holocene","","0.0117","0","4790"
"213062","occ","","","21689","Saguinus","genus","92613","Holocene","","0.0117","0","4790"
"213063","occ","","","21689","Saimiri sciureus","species","104135","Holocene","","0.0117","0","4790"
"213064","occ","","","21689","Callimico goeldii","species","233441","Holocene","","0.0117","0","4790"
"213099","occ","","","21689","Callithrix pygmaea","species","236608","Holocene","","0.0117","0","4790"
"213148","occ","","","21690","Papio anubis","species","232552","Holocene","","0.0117","0","4792"
"213149","occ","","","21690","Chlorocebus aethiops","species","92707","Holocene","","0.0117","0","4792"
"213171","occ","","","21691","Aotus trivirgatus","species","232710","Holocene","","0.0117","0","4796"
"213172","occ","","","21691","Ateles geoffroyi","species","232528","Holocene","","0.0117","0","4796"
"213173","occ","","","21691","Cebus capucinus","species","104134","Holocene","","0.0117","0","4796"
"213174","occ","","","21691","Saguinus","genus","92613","Holocene","","0.0117","0","4796"
"213175","occ","","","21691","Alouatta palliata","species","235366","Holocene","","0.0117","0","4796"
"213227","occ","","","21692","Papio anubis","species","232552","Holocene","","0.0117","0","4801"
"213228","occ","","","21692","Chlorocebus aethiops","species","92707","Holocene","","0.0117","0","4801"
"213238","occ","","","21692","Chlorocebus patas","species","233286","Holocene","","0.0117","0","4801"
"213288","occ","","","21693","Papio","genus","40871","Holocene","","0.0117","0","4805"
"213293","occ","","","21693","Cercopithecus pygerythrus","species","236815","Holocene","","0.0117","0","4805"
"213328","occ","","","21762","Parapapio","genus","40874","Piacenzian","","3.6","2.588","4782"
"213363","occ","","","21783","Theropithecus","genus","40879","Piacenzian","","3.6","2.588","4847"
"213393","occ","","","21785","Theropithecus","genus","40879","Piacenzian","","3.6","2.588","4782"
"213501","occ","","","21824","Papio","genus","40871","Early Pleistocene","","2.588","0.781","4896"
"213505","occ","","","21825","Papio","genus","40871","Pleistocene","","2.588","0.0117","4892"
"213506","occ","","","21825","Theropithecus oswaldi","species","133586","Pleistocene","","2.588","0.0117","4892"
"213508","occ","","","21828","Papio","genus","40871","Pleistocene","","2.588","0.0117","4888"
"213509","occ","","","21829","Papio","genus","40871","Pleistocene","","2.588","0.0117","4895"
"213544","occ","","","21854","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5210"
"213610","occ","","","21856","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5211"
"213763","occ","","","21888","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5224"
"213801","occ","","","21891","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5209"
"213843","occ","","","21893","Cercocebus","genus","40861","Middle Pleistocene","Late Pleistocene","0.781","0.0117","5226"
"213859","occ","","","21894","Homo sapiens","species","83088","Holocene","","0.0117","0","5210"
"213977","occ","","","21913","Papio","genus","40871","Pleistocene","","2.588","0.0117","5213"
"213989","occ","","","21914","Papio","genus","40871","Holocene","","0.0117","0","5213"
"214026","occ","","","21920","Papio","genus","40871","Pleistocene","","2.588","0.0117","5213"
"214027","occ","","","21920","Cercopithecus","genus","233952","Pleistocene","","2.588","0.0117","5213"
"214033","occ","","","21920","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5213"
"214178","occ","","","21952","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5251"
"214236","occ","","","21961","Papio","genus","40871","Calabrian","","1.806","0.781","5261"
"214254","occ","","","21962","Praeanthropus africanus","species","83054","Piacenzian","","3.6","2.588","5264"
"214269","occ","","","21968","Hominidae","family","40899","Calabrian","","1.806","0.781","4948"
"214274","occ","","","21970","Cercopithecoides","genus","40863","Calabrian","","1.806","0.781","5269"
"214287","occ","","","21970","Cercopithecidae","family","40860","Calabrian","","1.806","0.781","5269"
"214304","occ","","","21973","Cercopithecidae","family","40860","Gelasian","Calabrian","2.588","0.781","4954"
"216781","occ","","","22041","Cercopithecoides","genus","40863","Calabrian","","1.806","0.781","4478"
"216832","occ","","","22064","Cercopithecoides","genus","40863","Calabrian","","1.806","0.781","4478"
"217154","occ","","","22128","Cercopithecus","genus","233952","Miocene","Pleistocene","23.03","0.0117","4840"
"217170","occ","","","22129","Chlorocebus aethiops","species","92707","Pliocene","","5.333","2.588","5348"
"217174","occ","","","22129","Colobus guereza","species","231533","Pliocene","","5.333","2.588","5348"
"217178","occ","","","22131","Theropithecus oswaldi","species","133586","Zanclean","Pleistocene","5.333","0.0117","5365"
"217183","occ","","","22133","Parapapio","genus","40874","Zanclean","Pleistocene","5.333","0.0117","5348"
"217192","occ","","","22133","Theropithecus","genus","40879","Zanclean","Pleistocene","5.333","0.0117","5348"
"217195","occ","","","22133","Theropithecus oswaldi","species","133586","Zanclean","Pleistocene","5.333","0.0117","5348"
"217197","occ","","","22135","Parapapio","genus","40874","Miocene","Pleistocene","23.03","0.0117","5352"
"217233","occ","","","22156","Theropithecus oswaldi","species","133586","Pleistocene","Holocene","2.588","0","4442"
"217239","occ","","","22156","Chlorocebus aethiops","species","92707","Pleistocene","Holocene","2.588","0","4442"
"217245","occ","","","22156","Colobus guereza","species","231533","Pleistocene","Holocene","2.588","0","4442"
"217280","occ","","","22158","Cercopithecidae","family","40860","Tortonian","Zanclean","11.62","3.6","4840"
"217286","occ","","","22158","Paracolobus","genus","40872","Tortonian","Zanclean","11.62","3.6","4840"
"217309","occ","","","22169","Cercopithecus","genus","233952","Pleistocene","Holocene","2.588","0","4442"
"217328","occ","","","22172","Theropithecus","genus","40879","Pleistocene","Holocene","2.588","0","4442"
"217339","occ","","","22174","Theropithecus","genus","40879","Zanclean","Pleistocene","5.333","0.0117","5366"
"217341","occ","","","22174","Australopithecus","genus","40900","Zanclean","Pleistocene","5.333","0.0117","5366"
"217352","occ","","","22175","Cercopithecus","genus","233952","Zanclean","","5.333","3.6","4442"
"217359","occ","","","22175","Cercocebus","genus","40861","Zanclean","","5.333","3.6","4442"
"217360","occ","","","22175","Cercopithecidae","family","40860","Zanclean","","5.333","3.6","4442"
"217364","occ","","","22175","Cercopithecidae","family","40860","Zanclean","","5.333","3.6","4442"
"217375","occ","","","22176","Cercopithecinae","subfamily","92688","Zanclean","","5.333","3.6","4442"
"217397","occ","","","22177","Papio hamadryas","species","104127","Pleistocene","Holocene","2.588","0","4442"
"217399","occ","","","22177","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","4442"
"217442","occ","","","22179","Cercopithecidae","family","40860","Tortonian","Zanclean","11.62","3.6","4840"
"217450","occ","","","22179","Paracolobus","genus","40872","Tortonian","Zanclean","11.62","3.6","4840"
"217453","occ","","","22179","Cercopithecidae","family","40860","Tortonian","Zanclean","11.62","3.6","4840"
"217454","occ","","","22179","Macaca","genus","40869","Tortonian","Zanclean","11.62","3.6","4840"
"217455","occ","","","22179","Libypithecus","genus","40868","Tortonian","Zanclean","11.62","3.6","4840"
"217509","occ","","","22197","Paracolobus","genus","40872","Zanclean","Pleistocene","5.333","0.0117","5366"
"217510","occ","","","22197","Theropithecus oswaldi","species","133586","Zanclean","Pleistocene","5.333","0.0117","5366"
"217518","occ","","","22197","Cercopithecidae","family","40860","Zanclean","Pleistocene","5.333","0.0117","5366"
"217525","occ","","","22197","Dinopithecus","genus","40865","Zanclean","Pleistocene","5.333","0.0117","5366"
"217866","occ","","","22234","Parapapio","genus","40874","Zanclean","Piacenzian","5.333","2.588","4648"
"217905","occ","","","22236","Parapapio","genus","40874","Tortonian","Piacenzian","11.62","2.588","5448"
"217906","occ","","","22236","Australopithecus africanus","species","83066","Tortonian","Piacenzian","11.62","2.588","5448"
"217910","occ","","","22236","Cercocebus","genus","40861","Tortonian","Piacenzian","11.62","2.588","5448"
"217961","occ","","","22237","Parapapio","genus","40874","Late Miocene","Piacenzian","11.608","2.588","8636"
"217962","occ","","","22237","Colobinae","subfamily","234343","Late Miocene","Piacenzian","11.608","2.588","8636"
"218033","occ","","","22238","Theropithecus","genus","40879","Piacenzian","Pleistocene","3.6","0.0117","5444"
"218057","occ","","","22243","Parapapio","genus","40874","Tortonian","Piacenzian","11.62","2.588","8636"
"218135","occ","","","22267","Paracolobus","genus","40872","Messinian","Calabrian","7.246","0.781","5571"
"218146","occ","","","22267","Cercopithecidae","family","40860","Messinian","Calabrian","7.246","0.781","5571"
"218152","occ","","","22267","Colobinae","subfamily","234343","Messinian","Calabrian","7.246","0.781","5571"
"218153","occ","","","22267","Australopithecus","genus","40900","Messinian","Calabrian","7.246","0.781","5571"
"218160","occ","","","22267","Hominoidea","superfamily","40883","Messinian","Calabrian","7.246","0.781","5571"
"218161","occ","","","22267","Theropithecus","genus","40879","Messinian","Calabrian","7.246","0.781","5571"
"218165","occ","","","22267","Cercopithecoidea","superfamily","40859","Messinian","Calabrian","7.246","0.781","5571"
"218172","occ","","","22268","Theropithecus","genus","40879","Pleistocene","","2.588","0.0117","5562"
"218176","occ","","","22268","Australopithecus","genus","40900","Pleistocene","","2.588","0.0117","5562"
"218196","occ","","","22269","Cercopithecidae","family","40860","Pliocene","Calabrian","5.333","0.781","5574"
"218200","occ","","","22269","Australopithecus boisei","species","83068","Pliocene","Calabrian","5.333","0.781","5574"
"218211","occ","","","22269","Theropithecus","genus","40879","Pliocene","Calabrian","5.333","0.781","5574"
"218223","occ","","","22270","Theropithecus","genus","40879","Pleistocene","","2.588","0.0117","5562"
"218227","occ","","","22270","Australopithecus","genus","40900","Pleistocene","","2.588","0.0117","5562"
"218269","occ","","","22272","Papio","genus","40871","Pleistocene","","2.588","0.0117","5569"
"218275","occ","","","22272","Colobus","genus","40864","Pleistocene","","2.588","0.0117","5569"
"218285","occ","","","22272","Homo erectus","species","83084","Pleistocene","","2.588","0.0117","5569"
"218306","occ","","","22272","Cercopithecidae","family","40860","Pleistocene","","2.588","0.0117","5569"
"218307","occ","","","22272","Theropithecus oswaldi","species","133586","Pleistocene","","2.588","0.0117","5569"
"218320","occ","","","22273","Victoriapithecus","genus","40880","Langhian","","15.97","13.82","5452"
"218326","occ","","","22273","Kalepithecus","genus","143167","Langhian","","15.97","13.82","5452"
"218338","occ","","","22274","Cercopithecidae","family","40860","Messinian","","7.246","5.333","5560"
"218359","occ","","","22274","Cercopithecoidea","superfamily","40859","Messinian","","7.246","5.333","5560"
"218377","occ","","","22275","Cercopithecidae","family","40860","Messinian","","7.246","5.333","5579"
"218383","occ","","","22275","Hominidae","family","40899","Messinian","","7.246","5.333","5579"
"218400","occ","","","22276","Homo","genus","40901","Pleistocene","","2.588","0.0117","5576"
"218403","occ","","","22276","Colobus","genus","40864","Pleistocene","","2.588","0.0117","5576"
"218414","occ","","","22276","Chlorocebus aethiops","species","92707","Pleistocene","","2.588","0.0117","5576"
"218418","occ","","","22276","Papio anubis","species","232552","Pleistocene","","2.588","0.0117","5576"
"218461","occ","","","22280","Papio","genus","40871","Messinian","Calabrian","7.246","0.781","5568"
"218474","occ","","","22287","Victoriapithecus","genus","40880","Serravallian","","13.82","11.62","5577"
"218517","occ","","","22300","Hominidae","family","40899","Serravallian","","13.82","11.62","5579"
"218546","occ","","","22303","Hominoidea","superfamily","40883","Langhian","Serravallian","15.97","11.62","5569"
"218561","occ","","","22307","Cercopithecidae","family","40860","Tortonian","Messinian","11.62","5.333","5563"
"218641","occ","","","22321","Parapapio","genus","40874","Pliocene","","5.333","2.588","5479"
"218654","occ","","","22321","Colobinae","subfamily","234343","Pliocene","","5.333","2.588","5479"
"218655","occ","","","22321","Colobinae","subfamily","234343","Pliocene","","5.333","2.588","5479"
"218668","occ","","","22323","Parapapio","genus","40874","Pliocene","Pleistocene","5.333","0.0117","5492"
"218678","occ","","","22323","Theropithecus","genus","40879","Pliocene","Pleistocene","5.333","0.0117","5492"
"218718","occ","","","22327","Homo rudolfensis","species","83081","Pliocene","Pleistocene","5.333","0.0117","5481"
"218726","occ","","","22329","Papio","genus","40871","Pliocene","Pleistocene","5.333","0.0117","4884"
"218743","occ","","","22338","Parapapio","genus","40874","Zanclean","","5.333","3.6","5549"
"218755","occ","","","22338","Cercopithecidae","family","40860","Zanclean","","5.333","3.6","5549"
"218875","occ","","","22346","Theropithecus","genus","40879","Pliocene","Pleistocene","5.333","0.0117","5328"
"218904","occ","","","22347","Theropithecus oswaldi","species","133586","Piacenzian","Gelasian","3.6","1.806","5550"
"219087","occ","","","22484","Homo","genus","40901","Pleistocene","","2.588","0.0117","5616"
"219160","occ","","","22490","Australopithecus boisei","species","83068","Gelasian","Calabrian","2.588","0.781","5627"
"219167","occ","","","22491","Homo","genus","40901","Gelasian","Calabrian","2.588","0.781","5626"
"219198","occ","","","22493","Theropithecus oswaldi","species","133586","Gelasian","Calabrian","2.588","0.781","5627"
"219242","occ","","","22499","Papio","genus","40871","Calabrian","","1.806","0.781","5627"
"219247","occ","","","22499","Homo erectus","species","83084","Calabrian","","1.806","0.781","5627"
"219286","occ","","","22505","Australopithecus","genus","40900","Pliocene","","5.333","2.588","5264"
"219301","occ","","","22506","Australopithecus","genus","40900","Pliocene","","5.333","2.588","5264"
"219366","occ","","","22509","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5225"
"219489","occ","","","22543","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5225"
"219610","occ","","","22560","Cercopithecus","genus","233952","Pliocene","Pleistocene","5.333","0.0117","5624"
"219621","occ","","","22564","Cercopithecus","genus","233952","Pliocene","Pleistocene","5.333","0.0117","5624"
"219713","occ","","","22584","Homo erectus","species","83084","Calabrian","","1.806","0.781","5647"
"219717","occ","","","22584","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","5647"
"219756","occ","","","22592","Libypithecus","genus","40868","Messinian","","7.246","5.333","5649"
"219775","occ","","","22594","Papio","genus","40871","Gelasian","","2.588","1.806","5271"
"219786","occ","","","22595","Papio","genus","40871","Gelasian","","2.588","1.806","4659"
"219808","occ","","","22596","Theropithecus oswaldi","species","133586","Gelasian","","2.588","1.806","5276"
"219865","occ","","","22627","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4478"
"219882","occ","","","22628","Australopithecus boisei","species","83068","Early Pleistocene","","2.588","0.781","5653"
"220037","occ","","","22664","Praeanthropus africanus","species","83054","Pliocene","","5.333","2.588","4845"
"220258","occ","","","21340","Sivapithecus","genus","40898","Serravallian","","13.82","11.62","4655"
"220282","occ","","","21340","Limnopithecus","genus","40886","Serravallian","","13.82","11.62","4655"
"220283","occ","","","21340","Proconsul africanus","species","157732","Serravallian","","13.82","11.62","4655"
"220284","occ","","","21340","Proconsul nyanzae","species","157733","Serravallian","","13.82","11.62","4655"
"220326","occ","","","21824","Cercopithecidae","family","40860","Early Pleistocene","","2.588","0.781","4896"
"220333","occ","","","21854","Papio","genus","40871","Pleistocene","Holocene","2.588","0","5210"
"220382","occ","","","21866","Papio","genus","40871","Holocene","","0.0117","0","5218"
"220391","occ","","","21867","Papio","genus","40871","Pleistocene","","2.588","0.0117","5219"
"220433","occ","","","21871","Papio cynocephalus","species","231525","Holocene","","0.0117","0","5220"
"220437","occ","","","21871","Cercopithecidae","family","40860","Holocene","","0.0117","0","5220"
